二筛排名,代码,TS代码,板块,简称,二筛总分,评级档,异常惩罚,PE_TTM,扣非PE,距52周高点跌幅_%,营收5年CAGR_%,净利润5年CAGR_%,已在Watchlist,量化警示,营收3年CAGR_%,净利润3年CAGR_%,经营现金流3年CAGR_%,应收账款3年CAGR_%,库存3年CAGR_%,毛利率_%,净利率_%,ROE_%,ROA_%,资产负债率_%,长期债务权益比,利息保障倍数,FCF净利润转化率,股数3年CAGR_%,最新季度营收同比_%,最新季度净利润同比_%,经营现金流_原始值
1,603605,603605.SH,沪,珀莱雅,85.9,A-优先三件套,6.0,15.3109,15.7316,38.04,23.08,27.85,否,股数膨胀>2%,18.4,22.88,25.44,-11.78,-1.74,73.26,14.56,26.25,19.26,26.17,0.3545,50.46,1.3143,11.78,-1.68,-2.7,2193146649
2,603508,603508.SH,沪,思维列控,85.6,A-优先三件套,0.0,14.1744,14.3065,43.53,12.49,nan,否,无,12.5,16.45,43.59,4.95,5.95,66.49,37.64,12.76,11.66,9.2,0.1013,3627.03,1.1426,0.0,0.29,0.41,671825347
3,000975,000975.SZ,深,山金国际,85.3,A-优先三件套,0.0,20.8941,20.7524,32.42,16.68,19.06,否,无,26.83,37.97,33.0,-48.08,-5.15,31.82,19.11,20.69,16.84,18.65,0.2293,75.3,1.0367,0.0,25.86,34.49,4680085595
4,300470,300470.SZ,创,中密控股,84.3,A-优先三件套,0.0,16.3634,17.1016,31.37,13.86,12.8,否,无,13.35,7.61,15.2,4.48,12.64,45.58,21.8,13.8,11.46,17.1,0.2063,592.4,0.82,-0.03,12.91,-1.9,408804110
5,002001,002001.SZ,深,新和成,82.7,A-优先三件套,0.0,11.9224,12.2526,30.78,16.62,13.72,否,无,11.77,23.19,26.35,10.39,3.9,44.67,30.57,21.8,15.36,27.73,0.3837,35.82,1.0336,-0.19,2.97,15.35,8797431341
6,600415,600415.SH,沪,小商品城,82.7,A-优先三件套,0.0,15.5864,16.9267,46.67,39.85,35.53,否,无,37.77,56.32,95.92,27.6,21.49,31.44,21.16,19.34,10.09,48.14,0.9283,67.85,2.1712,-0.02,26.62,36.95,10529211443
7,688334,688334.SH,科,西高院,82.5,A-优先三件套,0.0,22.2558,24.2356,37.56,20.28,33.56,否,无,18.54,28.53,34.68,18.56,-6.39,54.47,31.89,9.15,7.56,17.22,0.208,287.09,1.2606,0.0,8.72,8.6,480400164
8,600989,600989.SH,沪,宝丰能源,82.0,A-优先三件套,0.0,11.4867,11.6459,34.06,24.71,19.68,否,无,19.11,21.66,36.5,-19.48,13.42,35.92,23.63,24.84,12.63,46.32,0.8629,14.98,0.8994,0.0,45.64,79.09,16851078344
9,300685,300685.SZ,创,艾德生物,81.9,A-优先三件套,0.0,20.8127,21.8571,27.38,10.46,14.91,否,无,12.46,10.98,34.77,12.57,4.37,82.59,30.16,18.53,16.37,12.42,0.1418,197.72,0.8206,-0.56,8.01,41.74,364824060
10,002690,002690.SZ,深,美亚光电,81.8,A-优先三件套,0.0,18.6005,19.3456,32.81,9.98,10.41,否,无,4.37,-0.5,44.94,3.43,-12.61,53.92,29.88,25.17,20.71,18.88,0.2327,100.0,1.2738,-0.01,4.16,10.77,962109305
11,002773,002773.SZ,深,康弘药业,81.4,A-优先三件套,0.0,18.1695,18.8433,55.44,6.83,nan,否,无,10.6,9.78,17.57,8.12,7.14,89.85,24.98,12.78,11.89,6.5,0.0695,100.0,1.0837,0.07,2.98,-2.68,1503648453
12,002315,002315.SZ,深,焦点科技,81.2,A-优先三件套,0.0,21.7938,22.2815,59.24,10.64,24.17,否,无,9.21,18.92,22.36,-19.01,-34.79,79.3,26.28,19.04,11.17,42.52,0.7397,660.55,1.7435,0.68,15.12,11.03,888363914
13,300144,300144.SZ,创,宋城演艺,79.3,A-优先三件套,0.0,20.3553,21.3542,40.12,20.12,nan,否,无,70.21,nan,67.0,56.21,-15.45,64.76,37.71,9.92,8.5,14.53,0.17,60.48,1.502,0.13,-6.61,-20.82,1545931208
14,688578,688578.SH,科,艾力斯,78.5,A-优先三件套,0.0,19.5714,21.1131,15.76,521.17,nan,否,无,87.18,155.97,193.75,35.54,30.73,96.83,42.2,35.41,31.68,10.39,0.1159,19128.99,0.976,0.0,45.8,53.1,2322531541
15,603979,603979.SH,沪,金诚信,78.3,A-优先三件套,0.0,18.6029,18.6687,16.34,29.17,44.57,否,无,37.41,55.21,66.0,7.99,15.44,33.82,16.28,22.39,11.54,49.83,0.9932,12.74,1.3399,1.2,39.74,44.01,4377465067
16,000426,000426.SZ,深,兴业银锡,77.2,A-优先三件套,0.0,27.2114,32.384,45.35,42.66,nan,否,无,38.61,114.02,47.42,5.72,11.61,57.59,30.68,18.79,11.63,40.76,0.688,10.73,1.1506,-1.13,30.09,13.49,2488264348
17,688093,688093.SH,科,世华科技,77.1,B-保留观察,14.0,17.8913,18.6077,44.27,27.0,25.35,否,FCF/NI<70%；股数膨胀>2%,32.96,29.1,37.74,20.3,25.33,58.11,36.71,16.8,15.69,5.64,0.0598,42131.58,0.2155,5.16,36.75,42.64,455401555
