代码,TS代码,板块,简称,最新价,流通市值_亿,总市值_亿,PE_TTM,扣非PE,PB,PS_TTM,股息率_%,52周高点,距52周高点跌幅_%,已在Watchlist
000027,000027.SZ,深,深圳能源,6.15,292.58,292.58,14.6209,16.1387,0.8949,0.6711,2.6,8.48,27.48,否
000028,000028.SZ,深,国药一致,19.47,102.38,119.2,10.8819,11.2631,0.6424,0.1634,2.88,27.43,29.02,否
000049,000049.SZ,深,德赛电池,23.73,91.25,91.27,22.8186,27.5836,1.3362,0.3908,0.97,31.5,24.67,否
000060,000060.SZ,深,中金岭南,6.68,296.67,296.67,28.7377,29.1295,1.5036,0.4672,0.82,9.22,27.55,否
000061,000061.SZ,深,农产品,5.69,102.1,112.94,26.0818,50.4824,1.325,1.8013,1.05,10.86,47.61,否
000065,000065.SZ,深,北方国际,9.07,96.6,105.34,16.0362,15.7848,0.9547,0.8595,1.51,16.37,44.59,否
000100,000100.SZ,深,TCL科技,5.03,1011.78,1046.28,20.6748,33.8159,1.7204,0.5578,1.79,6.26,19.65,否
000156,000156.SZ,深,华数传媒,6.65,113.04,123.22,27.4746,41.9111,0.8117,1.3579,2.41,10.01,33.57,否
000157,000157.SZ,深,中联重科,6.96,492.05,601.94,13.8937,19.4327,1.0637,1.137,5.75,10.16,31.5,否
000338,000338.SZ,深,潍柴动力,29.16,1445.28,2519.49,22.2857,24.7861,2.7346,1.0635,2.51,36.34,19.76,否
000400,000400.SZ,深,许继电气,21.67,219.96,220.74,23.2556,24.3331,1.7855,1.4647,1.78,34.65,37.46,否
000403,000403.SZ,深,派林生物,10.63,100.0,101.03,28.6078,31.4463,1.2456,3.8844,0.0,19.13,44.43,否
000408,000408.SZ,深,藏格矿业,78.19,1226.72,1226.73,21.5586,20.6921,7.1336,30.9509,3.19,97.28,19.62,否
000411,000411.SZ,深,英特集团,9.67,54.51,54.62,11.3654,11.4446,1.0494,0.1614,3.66,14.36,32.66,否
000422,000422.SZ,深,湖北宜化,12.25,130.74,133.23,18.2746,31.4539,2.1743,0.4927,2.45,20.2,39.36,否
000423,000423.SZ,深,东阿阿胶,48.35,308.81,309.36,17.3659,18.5199,3.0453,4.5461,5.76,58.36,17.15,否
000425,000425.SZ,深,徐工机械,8.01,721.2,938.07,14.1999,14.2858,1.5548,0.9037,2.48,12.9,37.91,否
000426,000426.SZ,深,兴业银锡,40.88,725.7,725.88,27.2114,32.384,6.7053,11.1061,0.27,74.8,45.35,否
000513,000513.SZ,深,丽珠集团,29.26,166.24,259.8,15.5165,15.8328,2.1478,2.4172,4.89,43.46,32.67,否
000528,000528.SZ,深,柳工,8.05,163.78,164.0,10.526,12.0212,0.8922,0.4816,3.93,12.97,37.93,否
000531,000531.SZ,深,穗恒运A,5.6,50.95,58.32,14.632,28.5497,0.8455,1.4656,1.42,8.56,34.58,否
000537,000537.SZ,深,绿发电力,7.6,156.23,156.23,24.5865,21.9261,0.7949,3.0972,2.17,13.76,44.77,否
000538,000538.SZ,深,云南白药,49.33,874.59,880.18,16.7456,17.8089,2.2412,2.0982,5.27,60.69,18.72,否
000543,000543.SZ,深,皖能电力,7.39,167.52,167.52,7.7925,8.0087,1.0032,0.6231,5.13,10.09,26.76,否
000544,000544.SZ,深,中原环保,7.23,70.47,70.47,6.6246,7.0141,0.7706,1.266,3.73,9.56,24.37,否
000550,000550.SZ,深,江铃汽车,16.13,83.63,139.24,11.3947,16.464,1.204,0.346,3.41,22.5,28.31,否
