代码,TS代码,板块,简称,池内档位,质量分,10Y ROE均值_%,10Y ROE最低_%,营收5年CAGR_%,净利润5年CAGR_%,毛利率10Y均值_%,净利率10Y均值_%,FCF5Y转化率,FCF正年数占比_%,OCF负年数,分红率5Y均值_%,资产负债率_%,流通市值_亿,总市值_亿,PE_TTM,股息率_%,审计意见,管理层红旗,分红融资比,覆盖,量化警示,review_status,reviewed_date
300033,300033.SZ,创,同花顺,Ⅰ候选,87.9,28.99,19.26,16.217669403923686,13.204109700666633,90.36,51.73,1.056,100.0,0,78.0,40.050000000000004,973.3,1670.9,45.7078,1.73,unqualified_opinion,大股东增减持近1年净减0.7%,12.1,公司页/深度分析/管理层档案,无,pending,
603040,603040.SH,沪,新坐标,Ⅰ候选,83.4,17.89,15.33,16.415086775684973,12.260176351843866,59.43,35.42,0.853,80.0,0,44.5,12.75,96.9,96.9,38.4318,1.66,unqualified_opinion,大股东增减持近1年净减0.8%；高管增减持近1年净减0.6%,2.02,全新,无,pending,
600809,600809.SH,沪,山西汾酒,Ⅰ候选,82.4,32.14,13.75,22.580342320922675,31.59272249307361,72.54,24.4,0.887,100.0,0,53.6,28.74,1495.2,1495.2,14.6867,5.35,unqualified_opinion,大股东增减持近1年净减1.3%,58.83,公司页/深度分析/管理层档案,无,pending,
605118,605118.SH,沪,力鼎光电,Ⅰ候选,80.7,21.96,10.98,14.77097380904262,11.542413387989537,47.34,31.48,0.637,80.0,0,63.8,17.380000000000003,142.2,143.0,46.4621,1.01,unqualified_opinion,大股东增减持近1年净减5.0%,1.59,全新,无,pending,
000848,000848.SZ,深,承德露露,Ⅰ候选,79.2,21.74,18.1,11.269605931206117,7.664676521414271,46.35,20.78,0.95,100.0,0,49.1,34.28,85.1,85.9,12.884,5.94,unqualified_opinion,无,10.06,全新,无,pending,
300470,300470.SZ,创,中密控股,Ⅰ候选,78.9,14.43,11.49,13.860866415903939,12.80180146558758,51.82,24.86,0.731,100.0,0,46.9,17.1,55.2,58.1,17.4646,3.58,unqualified_opinion,无,1.04,公司页/深度分析/管理层档案,无,pending,
002690,002690.SZ,深,美亚光电,Ⅰ候选,78.4,22.02,15.53,9.977984045632681,10.414905993228452,52.8,32.04,0.935,100.0,0,90.9,18.88,68.5,141.5,19.3502,4.36,unqualified_opinion,无,6.09,深度分析/管理层档案,无,pending,
688029,688029.SH,科,南微医学,Ⅰ候选,78.3,17.84,10.25,19.138861092407254,16.962570912057593,63.47,17.06,0.489,100.0,0,40.1,20.53,146.2,146.2,28.6386,1.92,unqualified_opinion,无,0.64,公司页/深度分析/管理层档案,无,pending,
603338,603338.SH,沪,浙江鼎力,Ⅰ候选,77.0,19.33,17.14,23.733850554463398,23.384523789522294,36.87,24.33,0.56,100.0,0,25.7,34.25,293.2,293.2,15.9656,1.99,unqualified_opinion,无,0.86,全新,无,pending,
300832,300832.SZ,创,新产业,Ⅰ候选,76.7,23.84,18.29,15.831328465407513,11.524368739371816,74.7,42.86,0.569,100.0,0,50.3,8.01,351.8,404.6,23.5685,2.32,unqualified_opinion,质押占总股本14%>10%；大股东增减持近1年净减2.0%,3.24,公司页,应收增速>营收,pending,
002595,002595.SZ,深,豪迈科技,Ⅰ候选,76.2,19.35,17.11,15.912720144441938,18.92010356240572,33.59,21.11,0.278,80.0,2,35.4,18.490000000000002,488.5,491.8,21.1078,1.63,unqualified_opinion,无,3.98,全新,无,pending,
605056,605056.SH,沪,咸亨国际,Ⅰ候选,75.9,18.82,6.84,18.03048055375125,2.8403414353054046,37.1,9.76,1.111,100.0,0,82.2,54.03,55.2,56.0,21.4333,2.85,unqualified_opinion,大股东增减持近1年净减4.6%,1.29,全新,无,pending,
300357,300357.SZ,创,我武生物,Ⅰ候选,75.3,19.37,12.78,10.799581390311563,6.41591917629718,95.57,40.44,0.633,100.0,0,32.6,6.41,106.6,115.0,27.5475,1.14,unqualified_opinion,无,4.73,全新,无,pending,
300595,300595.SZ,创,欧普康视,Ⅰ候选,75.3,22.2,10.31,16.40886762365492,4.14540077375849,75.95,43.53,0.83,100.0,0,28.5,13.61,73.8,98.7,21.3988,1.67,unqualified_opinion,无,0.5,全新,无,pending,
603170,603170.SH,沪,宝立食品,Ⅰ候选,74.8,25.29,17.5,26.524297340592383,16.50065368666207,32.48,11.96,0.48,100.0,0,46.4,26.150000000000002,51.5,51.5,18.7605,3.5,unqualified_opinion,大股东增减持近1年净减0.6%,1.46,全新,无,pending,
603605,603605.SH,沪,珀莱雅,Ⅰ候选,74.8,24.5,18.16,23.077475077156606,27.84791135868425,66.6,12.48,0.994,100.0,0,37.1,26.169999999999998,249.6,249.6,13.3693,3.76,unqualified_opinion,无,2.71,公司页/深度分析/管理层档案,股本膨胀>2%,pending,
688008,688008.SH,科,澜起科技,Ⅰ候选,74.3,17.14,4.48,24.506170722022258,14.049179842908588,59.53,35.87,0.721,100.0,0,41.0,6.38,2148.7,2290.9,74.5297,0.31,unqualified_opinion,大股东增减持近1年净减2.3%,0.88,公司页/深度分析/管理层档案,无,pending,
688692,688692.SH,科,达梦数据,Ⅰ候选,73.9,29.69,14.74,23.7363733123898,29.04243345808013,90.96,38.3,0.775,100.0,0,13.7,15.35,158.2,241.6,45.3263,0.8,unqualified_opinion,无,0.18,全新,股本膨胀>2%,pending,
603899,603899.SH,沪,晨光股份,Ⅰ候选,73.6,21.75,14.1,13.790391987124927,1.9089038197926733,22.82,8.27,1.18,100.0,0,51.3,45.36,212.1,212.1,15.8395,4.32,unqualified_opinion,无,5.64,全新,无,pending,
603156,603156.SH,沪,养元饮品,Ⅰ候选,73.4,21.87,12.29,3.8050968288720455,-4.402028353660703,47.77,29.85,1.043,100.0,0,132.4,31.65,509.5,509.5,37.1928,3.71,unqualified_opinion,无,5.23,全新,无,pending,
603043,603043.SH,沪,广州酒家,Ⅰ候选,72.8,19.0,12.37,10.360401348794944,2.128346635367051,42.52,13.03,0.777,100.0,0,49.5,39.75,78.3,78.7,16.4134,3.6,unqualified_opinion,无,2.68,全新,无,pending,
603203,603203.SH,沪,快克智能,Ⅰ候选,72.5,17.8,10.06,15.095019633152273,-3.9124055179996953,52.69,30.35,0.749,100.0,0,85.9,35.31,133.8,135.3,86.2068,1.11,unqualified_opinion,无,2.18,公司页,无,pending,
688093,688093.SH,科,世华科技,Ⅰ候选,72.4,19.63,11.7,26.998022997956106,25.346209585682633,59.92,36.38,0.022,80.0,0,41.8,5.64,60.1,60.1,18.3059,3.25,unqualified_opinion,无,0.33,全新,股本膨胀>2%,pending,
688582,688582.SH,科,芯动联科,Ⅰ候选,72.3,14.78,10.03,36.98395644977492,42.35550080416461,86.19,51.63,0.525,80.0,1,25.2,2.69,163.5,163.5,88.1349,0.36,unqualified_opinion,大股东增减持近1年净减1.0%,0.19,全新,无,pending,
605098,605098.SH,沪,行动教育,Ⅰ候选,72.2,28.21,10.42,16.45910322114661,24.404191420972477,76.44,30.57,1.528,100.0,0,122.2,57.440000000000005,68.2,68.2,18.929,4.71,unqualified_opinion,大股东增减持近1年净减1.8%,2.21,全新,应收增速>营收,pending,
002833,002833.SZ,深,弘亚数控,Ⅰ候选,71.7,22.68,14.38,7.5325148912182005,3.6950661038762433,34.57,22.94,0.462,100.0,0,60.0,29.69,54.9,80.5,18.1637,4.76,unqualified_opinion,无,4.32,全新,无,pending,
300394,300394.SZ,创,天孚通信,Ⅰ候选,71.5,21.88,13.96,42.672465229944855,48.04255739492183,54.03,34.86,0.741,100.0,0,48.4,14.52,2706.8,2712.9,116.8183,0.4,unqualified_opinion,无,1.88,公司页/深度分析/管理层档案,股本膨胀>2%,pending,
605599,605599.SH,沪,菜百股份,Ⅰ候选,71.5,18.6,13.57,32.458529591796356,25.8513021046624,11.48,4.22,0.898,80.0,1,72.6,50.56,115.9,115.9,10.4296,5.23,unqualified_opinion,无,3.02,公司页,无,pending,
688112,688112.SH,科,鼎阳科技,Ⅰ候选,71.3,22.13,7.24,22.214237689747442,21.564323923098993,56.54,24.26,0.574,100.0,0,72.5,8.9,103.1,103.1,65.4677,1.02,unqualified_opinion,高管增减持近1年净减1.0%,0.37,全新,股本膨胀>2%,pending,
000975,000975.SZ,深,山金国际,Ⅰ候选,71.1,11.8,6.32,16.681753082267047,19.059227104236932,36.06,20.67,1.092,100.0,0,53.9,18.65,662.3,727.8,19.1907,1.83,unqualified_opinion,无,9.41,公司页/管理层档案,无,pending,
603919,603919.SH,沪,金徽酒,Ⅰ候选,70.4,12.28,9.11,11.016671870845851,0.35133426928850575,62.29,15.86,0.718,100.0,0,56.7,35.54,90.0,90.0,33.3082,3.92,unqualified_opinion,质押占总股本40%>10%,1.25,全新,无,pending,
688334,688334.SH,科,西高院,Ⅰ候选,70.4,8.19,6.68,20.283827785241627,33.56387587690006,47.16,25.24,1.21,100.0,0,32.1,17.22,57.4,58.3,22.8264,2.44,unqualified_opinion,无,0.31,全新,无,pending,
603587,603587.SH,沪,地素时尚,Ⅰ候选,70.3,23.0,7.13,-3.5864653355282217,-16.191576229992442,75.16,21.59,1.296,100.0,0,76.5,15.57,61.4,61.4,20.4742,3.07,unqualified_opinion,无,1.91,全新,无,pending,
002555,002555.SZ,深,三七互娱,Ⅰ候选,70.0,28.02,17.19,2.086175938463297,-0.9185191862175479,78.24,19.2,1.004,100.0,0,65.6,38.74,305.0,413.0,12.6452,4.9,unqualified_opinion,大股东增减持近1年净减1.0%,1.8,公司页,无,pending,
688663,688663.SH,科,新风光,Ⅰ候选,70.0,16.01,6.98,18.935944412378646,-0.9494327142967607,31.27,12.08,1.178,100.0,1,42.8,61.050000000000004,107.3,107.3,123.7661,0.29,unqualified_opinion,无,0.63,全新,无,pending,
300015,300015.SZ,创,爱尔眼科,Ⅱ候选,69.8,19.33,15.36,13.413747581401125,13.095616480659578,48.81,15.53,1.065,100.0,0,38.2,36.199999999999996,667.6,780.2,30.6415,2.14,unqualified_opinion,质押占总股本11%>10%,0.99,公司页/深度分析/管理层档案,股本膨胀>2%,pending,
300979,300979.SZ,创,华利集团,Ⅱ候选,69.4,35.66,19.03,12.388429712074899,11.286746616722422,24.78,13.91,0.589,100.0,0,64.4,27.57,383.5,383.5,15.4092,6.39,unqualified_opinion,大股东增减持近1年净减1.5%,2.67,公司页/深度分析/管理层档案,无,pending,
603699,603699.SH,沪,纽威股份,Ⅱ候选,69.0,17.49,7.91,16.419086225823555,24.873239404964753,33.91,13.23,0.935,100.0,0,68.2,55.60000000000001,345.9,353.7,20.8334,3.18,unqualified_opinion,大股东增减持近1年净减3.0%,4.64,公司页,无,pending,
605183,605183.SH,沪,确成股份,Ⅱ候选,69.0,14.94,9.49,16.041064382507454,20.756848637459015,34.6,21.48,0.385,100.0,0,37.6,14.360000000000001,64.3,64.7,16.2644,2.88,unqualified_opinion,无,1.3,全新,无,pending,
603868,603868.SH,沪,飞科电器,Ⅱ候选,68.9,26.65,13.86,1.592045062159686,-4.269176229737514,46.52,17.53,1.024,100.0,0,72.4,16.45,138.0,138.0,25.0779,3.16,unqualified_opinion,无,7.65,全新,无,pending,
688677,688677.SH,科,海泰新光,Ⅱ候选,68.8,19.92,10.3,16.971115667474912,11.56053491863922,62.29,31.38,0.376,100.0,0,41.6,17.740000000000002,98.1,98.1,56.8206,0.72,unqualified_opinion,大股东增减持近1年净减3.7%；高管增减持近1年净减3.0%,0.45,全新,股本膨胀>2%,pending,
688526,688526.SH,科,科前生物,Ⅱ候选,68.4,24.38,9.81,2.4075931561771347,-1.418013173140864,76.6,46.63,0.714,100.0,0,42.2,11.48,59.6,59.6,18.9385,5.01,unqualified_opinion,无,0.81,全新,无,pending,
301717,301717.SZ,创,超纯应材,Ⅱ候选,68.3,21.46,17.85,53.7508661366326,47.457148328179,60.44,37.44,0.391,100.0,0,0.0,21.07,61.8,361.0,152.1106,0.0,none,无,0.0,全新,最新年增速异常,pending,
003006,003006.SZ,深,百亚股份,Ⅱ候选,68.2,17.59,14.43,22.798210624450597,2.695716433849471,47.14,10.66,0.671,100.0,0,77.9,31.28,62.8,63.0,31.6653,2.73,unqualified_opinion,大股东增减持近1年净减2.9%,3.28,全新,OCF3Y萎缩>5%,pending,
002832,002832.SZ,深,比音勒芬,Ⅱ候选,68.1,18.05,10.53,13.371304874056001,2.0005100886560934,71.74,20.28,0.531,100.0,0,45.0,29.56,102.9,151.8,24.213,2.71,unqualified_opinion,无,1.62,公司页,OCF3Y萎缩>5%,pending,
605099,605099.SH,沪,共创草坪,Ⅱ候选,68.1,26.01,18.04,12.20616813923947,10.194767682535378,32.88,18.44,0.633,100.0,0,50.1,24.81,119.6,119.8,17.0692,2.79,unqualified_opinion,大股东增减持近1年净减0.6%,2.03,全新,应收增速>营收,pending,
688617,688617.SH,科,惠泰医疗,Ⅱ候选,67.8,22.52,6.87,40.058630022412565,50.62081197234387,70.66,23.54,0.6,100.0,0,26.0,14.280000000000001,355.8,355.8,38.1454,0.39,unqualified_opinion,高管增减持近1年净减1.4%,0.46,公司页,股本膨胀>2%,pending,
300896,300896.SZ,创,爱美客,Ⅱ候选,67.5,27.36,16.15,28.162556260348914,24.598858851507053,91.81,53.68,0.912,100.0,0,49.8,8.35,206.6,282.9,25.8394,1.92,unqualified_opinion,无,1.23,全新,股本膨胀>2%,pending,
000921,000921.SZ,深,海信家电,Ⅱ候选,67.4,22.73,15.62,12.685916653445295,10.71187014720103,21.19,4.96,1.177,100.0,0,47.1,69.25,257.5,386.1,13.9486,4.54,unqualified_opinion,无,4.27,全新,无,pending,
000429,000429.SZ,深,粤高速A,Ⅱ候选,67.3,17.11,11.9,3.352403177555763,12.773243784811728,60.49,47.64,0.876,100.0,0,70.1,46.98,170.0,272.6,17.1008,4.63,unqualified_opinion,无,3.22,全新,无,pending,
301061,301061.SZ,创,匠心家居,Ⅱ候选,67.2,20.94,12.87,20.71690346659054,33.05709348170998,34.02,17.9,0.809,100.0,0,30.4,22.509999999999998,71.8,108.1,14.741,2.33,unqualified_opinion,无,0.5,全新,股本膨胀>2%,pending,
301381,301381.SZ,创,赛维时代,Ⅱ候选,66.9,19.89,-2.01,17.602438104561415,-8.895865223275612,57.87,2.93,1.205,80.0,2,37.4,43.15,94.0,94.1,33.6678,2.15,unqualified_opinion,质押占总股本10%>10%；大股东增减持近1年净减3.0%,0.7,全新,无,pending,
600750,600750.SH,沪,华润江中,Ⅱ候选,66.8,15.47,11.99,11.563629915339835,15.031142918124129,66.31,21.03,0.904,100.0,0,107.7,31.65,147.4,149.0,17.0119,5.89,unqualified_opinion,无,5.61,全新,无,pending,
603658,603658.SH,沪,安图生物,Ⅱ候选,66.5,20.91,12.27,7.252053288960103,7.48976118431508,64.76,28.52,0.523,100.0,0,52.6,26.640000000000004,188.5,188.5,18.9567,3.97,unqualified_opinion,无,1.1,公司页,无,pending,
300009,300009.SZ,创,安科生物,Ⅱ候选,66.2,15.12,4.69,9.23777957656573,16.61493355604229,77.87,22.14,0.849,100.0,0,76.6,14.62,102.4,139.0,19.829,3.0,unqualified_opinion,大股东增减持近1年净减0.5%,1.94,全新,无,pending,
002275,002275.SZ,深,桂林三金,Ⅱ候选,66.0,14.37,9.59,5.483484664078686,9.350803375016747,73.37,22.31,1.18,100.0,0,102.8,25.06,69.8,72.6,17.8448,4.05,unqualified_opinion,大股东增减持近1年净减1.9%,5.36,全新,无,pending,
002956,002956.SZ,深,西麦食品,Ⅱ候选,65.9,14.37,7.73,16.93150392309142,5.493565609508333,50.26,11.35,0.229,40.0,0,62.4,28.410000000000004,52.4,52.4,21.9822,2.29,unqualified_opinion,无,0.8,全新,无,pending,
300019,300019.SZ,创,硅宝科技,Ⅱ候选,65.8,12.78,6.98,19.745985109044597,6.735891148891904,25.52,10.15,0.833,100.0,0,44.0,33.96,52.3,55.7,25.844,2.12,unqualified_opinion,无,0.81,全新,无,pending,
688128,688128.SH,科,中国电研,Ⅱ候选,65.7,15.33,12.66,13.596294529257925,13.697246330550318,30.7,9.28,0.902,80.0,0,43.8,57.3,89.3,89.3,16.5326,3.62,unqualified_opinion,无,1.33,全新,无,pending,
920599,920599.BJ,北,同力股份,Ⅱ候选,65.7,27.62,24.35,18.472014215082243,20.058908446104674,21.3,10.62,0.728,80.0,0,42.3,53.459999999999994,64.0,84.5,9.1433,3.79,unqualified_opinion,大股东增减持近1年净减1.3%,1.34,公司页,无,pending,
000596,000596.SZ,深,古井贡酒,Ⅱ候选,65.4,19.64,14.06,12.844061424924913,14.524283118022584,77.13,19.41,0.555,100.0,0,55.2,31.66,413.4,534.8,26.0629,4.35,unqualified_opinion,无,1.75,公司页,OCF3Y萎缩>5%,pending,
603132,603132.SH,沪,金徽股份,Ⅱ候选,65.4,17.06,10.8,8.96058229716159,8.337465068889681,65.59,27.65,0.448,60.0,0,84.6,60.56,193.1,193.1,27.6594,2.84,unqualified_opinion,质押占总股本63%>10%；大股东增减持近1年净减1.2%,2.06,全新,无,pending,
002979,002979.SZ,深,雷赛智能,Ⅱ候选,65.3,17.8,10.88,14.638125888343922,4.376259097950208,40.67,15.56,0.384,60.0,0,35.8,42.449999999999996,118.1,167.6,55.8439,0.47,unqualified_opinion,无,0.81,公司页,无,pending,
601156,601156.SH,沪,东航物流,Ⅱ候选,65.3,31.98,14.91,9.935339009367006,2.540580797703984,21.58,13.52,1.155,100.0,0,25.1,30.65,181.8,305.6,10.8462,3.52,unqualified_opinion,大股东增减持近1年净减1.8%,1.52,全新,无,pending,
603871,603871.SH,沪,嘉友国际,Ⅱ候选,65.3,24.73,13.26,20.61721133558281,25.91748980799089,15.68,11.35,0.328,80.0,1,43.5,23.78,191.4,191.4,14.5932,3.43,unqualified_opinion,无,1.15,全新,股本膨胀>2%,pending,
688100,688100.SH,科,威胜信息,Ⅱ候选,65.3,16.13,13.72,15.50065644800358,19.27717401578044,35.85,18.87,0.583,100.0,0,39.9,37.79,127.7,127.7,22.6595,1.15,unqualified_opinion,无,1.78,全新,应收增速>营收,pending,
000513,000513.SZ,深,丽珠集团,Ⅱ候选,64.9,17.33,10.28,2.701523304565012,2.496929095782341,64.38,19.91,0.938,100.0,0,64.4,35.18,152.0,237.7,14.196,5.34,unqualified_opinion,无,3.89,全新,无,pending,
002993,002993.SZ,深,奥海科技,Ⅱ候选,64.9,16.59,9.29,19.422058593433377,7.546171077263697,20.53,8.05,0.425,60.0,0,50.9,49.57,87.4,101.2,43.6233,3.23,unqualified_opinion,大股东增减持近1年净减1.5%,0.4,全新,无,pending,
603369,603369.SH,沪,今世缘,Ⅱ候选,64.8,21.11,16.26,14.73256445452682,10.690203975263435,73.8,30.06,0.396,80.0,0,42.7,36.05,385.3,385.3,15.6823,3.88,unqualified_opinion,无,9.5,公司页,OCF3Y萎缩>5%,pending,
603380,603380.SH,沪,易德龙,Ⅱ候选,64.8,18.48,10.48,12.175348975491795,6.224523375678381,25.47,10.71,0.28,60.0,0,37.4,26.919999999999998,53.3,53.3,23.8866,1.8,unqualified_opinion,大股东增减持近1年净减1.2%,1.13,全新,无,pending,
300285,300285.SZ,创,国瓷材料,Ⅱ候选,64.6,12.31,8.47,12.506502425056576,1.5340827259745726,41.1,21.38,0.215,80.0,0,20.1,18.91,515.2,602.1,93.8798,0.25,unqualified_opinion,无,0.49,公司页/深度分析,无,pending,
002287,002287.SZ,深,奇正藏药,Ⅱ候选,64.5,16.67,14.21,10.354481596060495,9.788510645899851,85.13,28.1,0.723,100.0,0,48.2,27.77,113.6,113.9,17.2157,3.19,unqualified_opinion,无,2.68,全新,股本膨胀>2%,pending,
