二筛排名,代码,Yahoo代码,行业,二筛总分,优先级,异常惩罚,PE_TTM,距52周高点跌幅_%,营收5年CAGR_%,净利润5年CAGR_%,已在Watchlist,量化警示,52周高点,营收3年CAGR_%,净利润3年CAGR_%,经营现金流3年CAGR_%,应收账款3年CAGR_%,库存3年CAGR_%,毛利率_%,净利率_%,ROE_%,ROA_%,资产负债率_%,长期债务权益比,利息保障倍数,流动比率,总资产周转率,FCF净利润转化率,股数3年CAGR_%,经营现金流_原始值
1,09992,9992.HK,Consumer Cyclical,98.2,A-优先三件套,0.0,13.256276,50.26,42.66,54.09,否,无,309.6,42.66,54.09,85.27,40.75,24.56,66.79,23.97,29.26,25.17,6.49,0.09,103.42,3.63,1.05,1.42,-1.19,4954220000.0
2,01318,1318.HK,Consumer Defensive,96.2,A-优先三件套,0.0,15.815408,55.0,40.29,50.66,否,无,112.0,40.29,50.66,45.66,28.08,20.09,84.22,23.84,25.8,24.07,1.38,0.02,693.14,5.2,1.01,0.84,1.37,1199426000.0
3,01415,1415.HK,Technology,86.6,A-优先三件套,0.0,12.525238,43.57,46.37,32.68,否,无,43.06,46.37,32.68,48.23,47.09,18.7,10.25,5.63,27.12,13.19,10.85,0.23,15.14,1.69,2.34,1.23,1.14,316306000.0
4,03606,3606.HK,Consumer Cyclical,81.4,A-优先三件套,8.0,14.845199,34.48,17.68,25.11,否,FCF/NI<70%,86.0,17.68,25.11,26.94,17.26,7.96,37.27,20.34,24.8,13.97,24.11,0.45,35.73,1.54,0.69,0.63,0.0,12055090552.0
5,02367,2367.HK,Consumer Defensive,80.8,A-优先三件套,8.0,14.488643,59.48,32.65,24.09,否,应收增速>营收,65.7,32.65,24.09,24.1,51.08,28.6,80.34,34.7,19.32,20.28,0.09,0.0,7783.46,11.27,0.58,0.71,1.94,1780622000.0
6,09985,9985.HK,Consumer Defensive,79.8,A-优先三件套,7.0,10.517281,47.54,15.96,111.19,否,利润增长显著快于营收,14.2,15.96,111.19,7.5,10.84,14.05,47.99,19.73,19.52,14.59,19.58,0.3,73.73,1.91,0.74,0.72,1.12,1494379000.0
7,00027,0027.HK,Consumer Cyclical,79.4,A-优先三件套,0.0,13.916256,23.34,62.51,nan,否,无,44.22,62.51,nan,nan,1.91,1.59,55.95,21.68,12.84,10.98,2.04,0.02,69.55,1.56,0.51,1.01,0.08,14253563000.0
8,00780,0780.HK,Consumer Cyclical,76.6,A-优先三件套,0.0,9.885244,52.71,43.35,nan,否,无,25.42,43.35,nan,142.5,36.57,nan,66.29,12.23,10.51,5.95,12.89,0.24,12.76,1.38,0.49,1.58,1.62,4310911000.0
9,09633,9633.HK,Consumer Defensive,76.6,A-优先三件套,6.0,23.826954,24.62,16.5,23.15,否,ROE>40%,56.25,16.5,23.15,20.64,7.71,40.49,60.53,30.19,40.2,26.82,6.89,0.11,313.67,1.07,0.89,0.9,0.0,21141652000.0
10,00425,0425.HK,Consumer Cyclical,76.2,A-优先三件套,0.0,8.766306,46.83,14.14,21.51,否,无,46.76,14.14,21.51,38.34,3.83,8.17,28.0,10.46,11.45,6.64,21.37,0.38,11.14,1.16,0.64,0.97,0.26,4912275000.0
