代码,Yahoo代码,行业,最新价,流通市值_亿港元,PE_TTM,距52周高点跌幅_%,52周高点,营收5年CAGR_%,净利润5年CAGR_%,最新季度营收同比_%,最新季度净利润同比_%,营业利润占比_%,ROE_%,资产负债率_%,经营现金流_原始值,数据日期,待核验项,已在Watchlist
00325,0325.HK,Consumer Cyclical,71.0,175.37,23.839353,42.14,122.7,107.61,nan,,,,22.09,0.82,896927000.0,2026-08-13,毛利率≥25%；自由现金流最近一年为正；行业归类与普通股身份；利润质量及每股增长；红筹/H股/香港本地属性确认；老千股风险排查,否
00780,0780.HK,Consumer Cyclical,13.49,317.55,11.03247,46.93,25.42,43.35,nan,,,,10.51,12.89,4310911000.0,2026-08-13,毛利率≥25%；自由现金流最近一年为正；行业归类与普通股身份；利润质量及每股增长；红筹/H股/香港本地属性确认；老千股风险排查,否
00788,0788.HK,Communication Services,9.315,434.67,10.474999,27.51,12.85,2.9,9.79,,,,5.7,26.88,56116000000.0,2026-08-13,毛利率≥25%；自由现金流最近一年为正；行业归类与普通股身份；利润质量及每股增长；红筹/H股/香港本地属性确认；老千股风险排查,否
00836,0836.HK,Utilities,18.2,942.21,6.490728,17.87,22.16,-0.42,25.6,,,,12.1,53.31,44650887000.0,2026-08-13,毛利率≥25%；自由现金流最近一年为正；行业归类与普通股身份；利润质量及每股增长；红筹/H股/香港本地属性确认；老千股风险排查,否
00867,0867.HK,Healthcare,11.84,288.07,16.538424,24.25,15.63,-3.54,-22.98,,,,8.56,3.59,758421000.0,2026-08-13,毛利率≥25%；自由现金流最近一年为正；行业归类与普通股身份；利润质量及每股增长；红筹/H股/香港本地属性确认；老千股风险排查,否
01099,1099.HK,Healthcare,16.74,224.62,6.342832,25.07,22.34,1.37,-5.67,,,,8.52,18.18,14138206000.0,2026-08-13,毛利率≥25%；自由现金流最近一年为正；行业归类与普通股身份；利润质量及每股增长；红筹/H股/香港本地属性确认；老千股风险排查,否
01208,1208.HK,Basic Materials,8.36,1073.93,12.366353,30.1,11.96,24.09,43.5,,,,12.86,24.96,2689500000.0,2026-08-13,毛利率≥25%；自由现金流最近一年为正；行业归类与普通股身份；利润质量及每股增长；红筹/H股/香港本地属性确认；老千股风险排查,否
01318,1318.HK,Consumer Defensive,49.92,244.7,17.460312,55.43,112.0,40.29,50.66,,,,25.8,1.38,1199426000.0,2026-08-13,毛利率≥25%；自由现金流最近一年为正；行业归类与普通股身份；利润质量及每股增长；红筹/H股/香港本地属性确认；老千股风险排查,否
01364,1364.HK,Consumer Cyclical,22.94,545.51,13.627017,26.66,31.28,32.44,103.93,,,,53.39,39.16,2408612000.0,2026-08-13,毛利率≥25%；自由现金流最近一年为正；行业归类与普通股身份；利润质量及每股增长；红筹/H股/香港本地属性确认；老千股风险排查,否
02259,2259.HK,Basic Materials,128.2,3430.63,21.799014,52.16,268.0,43.6,105.82,,,,19.12,5.2,2402470000.0,2026-08-13,毛利率≥25%；自由现金流最近一年为正；行业归类与普通股身份；利润质量及每股增长；红筹/H股/香港本地属性确认；老千股风险排查,否
02714,2714.HK,Consumer Defensive,34.66,107.45,17.44157,31.64,50.7,4.91,5.29,,,,19.93,40.9,30056186914.47,2026-08-13,毛利率≥25%；自由现金流最近一年为正；行业归类与普通股身份；利润质量及每股增长；红筹/H股/香港本地属性确认；老千股风险排查,否
02788,2788.HK,Basic Materials,17.5,363.12,10.311505,48.47,33.96,11.46,45.79,,,,28.38,44.41,4925305000.0,2026-08-13,毛利率≥25%；自由现金流最近一年为正；行业归类与普通股身份；利润质量及每股增长；红筹/H股/香港本地属性确认；老千股风险排查,否
02921,2921.HK,,42.22,494.44,17.466035,,,,,,,,nan,,,2026-08-13,毛利率≥25%；自由现金流最近一年为正；行业归类与普通股身份；利润质量及每股增长；红筹/H股/香港本地属性确认；老千股风险排查,否
02997,2997.HK,,52.7,280.89,15.25212,,,,,,,,nan,,,2026-08-13,毛利率≥25%；自由现金流最近一年为正；行业归类与普通股身份；利润质量及每股增长；红筹/H股/香港本地属性确认；老千股风险排查,否
03355,3355.HK,Technology,38.64,156.75,22.79646,32.21,57.0,14.26,18.17,,,,27.85,16.08,816725000.0,2026-08-13,毛利率≥25%；自由现金流最近一年为正；行业归类与普通股身份；利润质量及每股增长；红筹/H股/香港本地属性确认；老千股风险排查,否
06031,6031.HK,Industrials,18.59,134.03,17.926712,31.55,27.16,3.53,25.14,,,,9.52,14.27,19975261000.0,2026-08-13,毛利率≥25%；自由现金流最近一年为正；行业归类与普通股身份；利润质量及每股增长；红筹/H股/香港本地属性确认；老千股风险排查,否
