代码,简称,行业,池内档位,质量分,5Y ROE均值_%,5Y ROE最低_%,营收5年CAGR_%,净利润5年CAGR_%,毛利率均值_%,净利率均值_%,FCF转化率,FCF正年数占比_%,OCF负年数,资产负债率_%,流通市值_亿港元,管理层红旗,覆盖,量化警示,review_status,reviewed_date
09633.HK,农夫山泉,Consumer Defensive,Ⅰ候选,96.5,38.8,35.3,16.5,23.15,58.9,28.1,0.8,100.0,0,6.9,2134.7,RunB核,公司页/深度分析/管理层档案,无,pending,
04338.HK,MICROSOFT-T,,Ⅰ候选,93.8,31.9,29.6,16.12,22.72,68.9,36.6,0.72,100.0,0,7.5,118912.0,RunB核,全新,无,pending,
03998.HK,Bosideng International Holdings Limited,Consumer Cyclical,Ⅰ候选,90.1,19.3,16.9,16.9,19.44,59.1,13.1,1.29,100.0,0,6.8,509.5,RunB核,全新,无,pending,
03606.HK,"Fuyao Glass Industry Group Co., Ltd.",Consumer Cyclical,Ⅰ候选,85.8,20.0,16.4,17.68,25.11,35.7,18.3,0.55,100.0,0,24.1,341.9,RunB核,全新,无,pending,
06288.HK,"Fast Retailing Co., Ltd.",Consumer Cyclical,Ⅰ候选,85.7,17.8,16.3,13.9,16.57,53.0,11.8,1.23,100.0,0,13.3,529.5,RunB核,全新,无,pending,
03692.HK,Hansoh Pharmaceutical Group Company Limited,Healthcare,Ⅰ候选,85.2,13.8,11.4,17.0,29.07,90.4,33.1,0.92,100.0,0,0.3,2197.6,RunB核,全新,无,pending,
02442.HK,Easy Smart Group Holdings Limited,Industrials,Ⅰ候选,81.2,19.5,12.2,21.15,11.6,22.5,11.7,0.24,67.0,1,0.9,461.4,RunB核,全新,无,pending,
01913.HK,普拉达,Consumer Cyclical,Ⅰ候选,78.9,17.1,13.4,10.82,22.35,79.9,13.9,1.28,100.0,0,43.7,1006.6,RunB核,公司页/深度分析/管理层档案,无,pending,
09973.HK,"Chery Automobile Co., Ltd.",Consumer Cyclical,Ⅰ候选,78.7,59.0,37.5,48.01,44.79,14.3,6.4,1.28,100.0,0,7.7,597.2,RunB核,全新,ROE均值>40%,pending,
04336.HK,"Applied Materials, Inc.",,Ⅰ候选,77.3,41.9,34.3,3.23,2.36,47.3,25.6,0.92,100.0,0,19.4,12846.6,RunB核,全新,ROE均值>40%,pending,
00151.HK,Want Want China Holdings Limited,Consumer Defensive,Ⅰ候选,76.9,22.8,19.3,2.1,4.41,46.1,16.4,1.0,100.0,0,9.8,362.0,RunB核,全新,无,pending,
03668.HK,Yancoal Australia Ltd,Energy,Ⅰ候选,76.3,21.0,4.9,-18.33,-50.31,82.1,21.0,1.09,100.0,0,0.7,452.0,RunB核,全新,无,pending,
06862.HK,Haidilao International Holding Ltd.,Consumer Cyclical,Ⅰ候选,75.7,35.8,18.5,11.67,43.36,26.4,8.9,2.01,100.0,0,26.9,644.9,RunB核,全新,利润增速显著快于营收,pending,
02276.HK,"Shanghai Conant Optical Co., Ltd.",Healthcare,Ⅰ候选,74.8,23.1,20.3,11.87,30.92,38.1,20.2,0.59,100.0,0,8.4,209.7,RunB核,全新,股本膨胀>2%,pending,
01882.HK,Haitian International Holdings Limited,Industrials,Ⅰ候选,73.9,13.9,13.2,12.94,13.38,32.3,18.8,0.36,100.0,0,9.1,287.3,RunB核,全新,无,pending,
01415.HK,Cowell e Holdings Inc.,Technology,Ⅰ候选,72.7,21.2,11.4,46.37,32.68,12.8,5.7,0.11,75.0,0,10.8,211.2,RunB核,全新,无,pending,
02057.HK,中通快递,Industrials,Ⅰ候选,71.8,13.8,12.6,11.54,10.07,28.0,20.1,0.66,100.0,0,12.6,1251.6,RunB核,公司页/深度分析/管理层档案,无,pending,
01530.HK,3SBio Inc.,Healthcare,Ⅰ候选,71.0,17.6,11.0,37.11,64.21,86.5,29.7,0.91,100.0,0,7.2,410.5,RunB核,全新,最新年增速异常；利润增速显著快于营收,pending,
00322.HK,Tingyi (Cayman Islands) Holding Corp.,Consumer Defensive,Ⅰ候选,70.4,24.6,19.7,0.15,19.58,31.9,4.4,0.86,100.0,0,27.7,707.4,RunB核,全新,无,pending,
00300.HK,"Midea Group Co., Ltd.",Consumer Cyclical,Ⅱ候选,69.7,19.7,17.8,9.87,14.14,26.0,9.1,1.2,100.0,0,11.1,656.2,RunB核,全新,股本膨胀>2%,pending,
03750.HK,"Contemporary Amperex Technology Co., Limited",Industrials,Ⅱ候选,69.5,20.7,18.7,8.84,32.94,22.5,12.9,1.08,100.0,0,12.3,1252.4,RunB核,全新,利润增速显著快于营收,pending,
04333.HK,"Cisco Systems, Inc.",Technology,Ⅱ候选,69.0,24.8,21.7,3.57,1.7,64.2,20.1,1.19,100.0,0,22.8,29625.0,RunB核,全新,OCF3Y萎缩>5%,pending,
03308.HK,"Zhongji Innolight Co., Ltd.",Technology,Ⅱ候选,68.8,22.2,10.2,58.29,106.62,34.5,20.7,0.56,100.0,0,3.7,630.5,RunB核,全新,最新年增速异常；利润增速显著快于营收,pending,
02475.HK,"Luxshare Precision Industry Co., Ltd.",Technology,Ⅱ候选,66.8,19.6,19.3,15.8,21.9,11.5,4.7,0.62,50.0,0,31.4,233.6,RunB核,全新,无,pending,
00285.HK,BYD Electronic (International) Company Limited,Technology,Ⅱ候选,66.0,11.1,7.2,18.75,23.68,6.7,2.3,1.89,100.0,0,10.6,566.9,RunB核,全新,无,pending,
02331.HK,Li Ning Company Limited,Consumer Cyclical,Ⅱ候选,64.9,13.0,10.6,4.68,-10.27,48.8,11.9,0.97,100.0,0,5.4,349.8,RunB核,全新,无,pending,
00220.HK,Uni-President China Holdings Ltd,Consumer Defensive,Ⅱ候选,64.3,12.7,9.3,3.92,18.82,31.3,5.7,1.28,100.0,0,4.4,321.8,RunB核,全新,无,pending,
01357.HK,美图公司,Communication Services,Ⅱ候选,63.6,9.5,2.5,22.77,83.63,67.0,15.1,1.46,100.0,0,15.7,223.9,RunB核,公司页/深度分析/管理层档案,利润增速显著快于营收,pending,
02313.HK,Shenzhou International Group Holdings Limited,Consumer Cyclical,Ⅱ候选,62.2,15.4,13.9,3.71,8.48,25.2,18.8,0.65,100.0,0,26.1,558.5,RunB核,全新,无,pending,
09896.HK,名创优品(09896),Consumer Cyclical,Ⅱ候选,61.5,16.4,9.1,28.59,23.6,39.8,10.7,0.74,100.0,0,37.8,228.8,RunB核,公司页/深度分析/管理层档案,应收增速>营收,pending,
