二筛排名,代码,行业,二筛总分,优先级,研究状态,异常惩罚,营收3年CAGR_%,净利润3年CAGR_%,经营现金流3年CAGR_%,应收账款3年CAGR_%,库存3年CAGR_%,毛利率_%,净利率_%,ROA_%,长期债务权益比,利息保障倍数,FCF净利润转化率,股数3年CAGR_%,增长一致性分,现金流质量分,资本质量分,估值折价分,PE_TTM,距52周高点跌幅_%,营收5年CAGR_%,净利润5年CAGR_%,量化警示
1,EXLS,Data Processing & Outsourced Services,87.2,A-优先三件套,待新做三件套,0.0,13.92,20.64,28.28,9.8,,38.37,12.02,15.12,0.44,18.89,1.19,-1.99,96.4,77.2,82.1,97.1,18.29,39.1,16.85,22.91,无明显量化异常
2,TW,Financial Exchanges & Data,82.6,A-优先三件套,待新做三件套,0.0,19.97,37.99,22.65,19.97,,67.32,39.6,10.52,0.02,606.34,1.31,0.76,98.2,86.8,76.9,52.5,24.98,31.39,18.1,37.35,无明显量化异常
3,MSFT,Systems Software,79.8,A-优先三件套,已有三件套，优先复核,0.0,12.42,11.87,15.21,16.46,-36.95,68.82,36.15,18.0,0.18,52.84,0.7,-0.13,90.5,76.0,88.6,51.0,23.89,27.79,14.52,18.12,无明显量化异常
4,META,Interactive Media & Services,78.4,A-优先三件套,已有三件套，优先复核,0.0,19.89,37.61,31.89,13.65,,82.0,30.08,18.83,0.39,74.76,0.76,-1.09,87.9,84.1,89.3,29.5,24.17,16.54,18.51,15.71,无明显量化异常
5,NTES,Interactive Home Entertainment,75.9,A-优先三件套,待新做三件套,0.0,5.29,18.4,22.34,2.18,-11.48,64.29,29.98,16.18,0.04,,1.44,-0.33,58.9,98.5,80.8,56.3,16.98,18.31,8.86,22.85,无明显量化异常
6,ADBE,Application Software,73.8,A-优先三件套,已有三件套，优先复核,6.0,10.52,14.45,8.57,4.31,,89.27,30.0,23.88,0.57,34.21,1.38,-3.67,81.0,82.8,77.7,74.6,13.46,37.44,13.06,6.27,ROE>40%，核查回购/低权益基数
7,JKHY,Transaction & Payment Processing Services,70.8,B-保留观察,待新做三件套,0.0,6.93,7.89,8.33,-3.0,,42.71,19.19,15.27,0.07,57.14,0.9,-0.02,61.2,70.6,95.6,48.8,21.49,20.45,6.96,8.97,无明显量化异常
8,NXT,Electrical Components & Equipment,70.7,B-保留观察,待新做三件套,6.0,23.23,70.17,73.56,15.43,23.85,32.59,16.46,16.13,0.06,273.14,0.88,48.21,82.2,77.8,87.7,45.0,27.83,34.5,24.38,36.34,股数三年CAGR高于2%
9,SPGI,Financial Exchanges & Data,68.5,B-保留观察,待新做三件套,0.0,11.11,11.24,29.48,11.33,,70.25,29.15,7.36,0.44,22.7,1.22,-3.16,89.1,86.5,53.7,15.7,28.93,21.01,15.56,13.83,无明显量化异常
10,MSA,Office Services & Supplies,68.0,B-保留观察,待新做三件套,0.0,7.06,15.8,32.21,1.05,0.46,46.46,14.88,11.72,0.46,12.52,1.06,-0.26,60.6,86.8,74.7,33.9,23.39,17.01,6.82,17.59,无明显量化异常
11,STN,Construction & Engineering,66.1,B-保留观察,待新做三件套,0.0,12.78,24.74,41.54,7.02,,43.33,5.89,6.43,0.79,6.47,1.65,0.97,87.2,70.5,30.6,74.3,23.0,38.48,12.01,22.88,无明显量化异常
12,FSLR,Semiconductors,65.5,B-保留观察,待新做三件套,8.0,25.84,,33.05,58.61,11.06,40.62,29.28,12.01,0.07,36.82,0.78,0.22,74.6,66.1,83.4,69.4,13.69,33.97,14.0,30.85,应收增速明显快于营收
13,NVO,Pharmacy,65.2,B-保留观察,待新做三件套,14.0,20.43,22.65,14.72,11.91,26.72,80.98,33.14,20.31,0.67,32.03,0.28,-0.42,97.6,77.0,76.1,52.2,12.17,28.3,19.48,19.44,ROE>40%，核查回购/低权益基数；FCF/净利润低于70%
14,CBOE,Financial Exchanges & Data,65.2,B-保留观察,待新做三件套,0.0,6.0,67.28,39.11,1.91,,40.9,23.33,12.87,0.31,30.95,1.53,-0.41,38.3,88.7,80.0,47.0,23.73,25.13,6.59,18.63,无明显量化异常
15,PNR,Industrial Machinery,63.5,B-保留观察,待新做三件套,0.0,0.44,10.78,30.9,8.2,-7.14,40.48,15.66,9.82,0.46,11.9,1.14,-0.27,44.8,68.5,63.1,91.3,16.11,42.35,6.71,12.76,无明显量化异常
16,MWA,Industrial Machinery,63.2,B-保留观察,待新做三件套,0.0,4.65,35.77,61.25,-2.93,5.3,36.14,13.41,11.03,0.46,14.38,0.9,0.1,50.8,75.0,71.8,49.8,19.65,16.32,8.2,21.63,无明显量化异常
17,AZN,Pharmacy,62.5,B-保留观察,待新做三件套,0.0,9.82,45.96,14.11,12.38,11.75,81.9,17.41,9.38,0.6,8.68,0.85,0.02,75.5,72.0,54.6,30.4,25.5,20.41,17.15,26.19,无明显量化异常
