二筛排名,代码,行业,二筛总分,优先级,异常惩罚,PE_TTM,距52周高点跌幅_%,营收5年CAGR_%,净利润5年CAGR_%,量化警示,52周高点,营收3年CAGR_%,净利润3年CAGR_%,经营现金流3年CAGR_%,应收账款3年CAGR_%,库存3年CAGR_%,毛利率_%,净利率_%,ROE_%,ROA_%,资产负债率_%,长期债务权益比,利息保障倍数,流动比率,总资产周转率,FCF净利润转化率,股数3年CAGR_%,经营现金流_原始值
1,INTU,Technology,92.3,A-优先三件套,0.0,17.398131,65.04,13.95,23.26,无,813.7,13.95,23.26,16.86,5.92,,79.57,20.55,19.63,11.2,17.96,0.34,20.57,1.36,0.55,1.57,-0.33,6207000000.0
2,RMD,Healthcare,90.3,A-优先三件套,0.0,18.601895,34.34,12.88,21.58,无,293.81,12.88,21.58,70.86,17.72,7.64,59.36,27.22,23.47,18.62,10.42,0.14,36.92,3.44,0.68,1.18,-0.01,1751588000.0
3,FUTU,Financial Services,85.4,A-优先三件套,0.0,11.727273,47.62,44.24,57.05,无,202.53,44.24,57.05,127.26,41.2,,87.12,49.62,28.34,5.86,7.65,0.44,48.14,1.19,0.12,3.59,0.12,40788133000.0
4,IDCC,Technology,84.3,A-优先三件套,7.0,24.669995,37.21,22.13,63.12,利润增长显著快于营收,412.6,22.13,63.12,23.93,9.5,,88.77,48.76,36.93,20.85,23.65,0.44,12.75,1.84,0.43,1.17,-4.69,544450000.0
5,TW,Financial Services,83.5,A-优先三件套,0.0,24.405118,32.98,19.97,37.99,无,147.49,19.97,37.99,22.65,19.97,,67.32,39.6,12.49,10.52,1.7,0.02,606.34,4.32,0.27,1.31,0.76,1167646000.0
6,CPRT,Industrials,82.6,A-优先三件套,0.0,16.874802,45.78,9.9,12.51,无,50.11,9.9,12.51,15.22,13.56,-12.3,45.18,33.41,16.9,16.77,1.03,0.01,101.67,8.42,0.5,0.79,0.53,1799750000.0
7,LOPE,Consumer Defensive,79.8,A-优先三件套,0.0,17.201749,38.7,6.67,5.39,无,223.04,6.67,5.39,7.39,2.87,,53.19,19.54,28.94,21.5,10.82,0.14,75830.25,3.65,1.1,1.1,-4.1,273491000.0
8,ROP,Technology,79.6,A-优先三件套,0.0,21.069535,40.37,13.73,-30.34,无,564.68,13.73,-30.34,51.22,11.38,8.38,69.24,19.44,7.73,4.66,27.04,0.47,6.96,0.52,0.24,1.59,0.16,2540300000.0
9,BMI,Technology,79.4,A-优先三件套,0.0,28.650359,37.91,17.46,28.66,无,204.0,17.46,28.66,30.61,13.6,8.23,41.68,15.45,19.86,15.83,,,,3.36,1.02,1.2,0.11,183698000.0
10,CDE,Basic Materials,79.0,A-优先三件套,6.0,13.094751,42.96,38.12,nan,股数膨胀>2%,27.77,38.12,nan,225.93,42.36,30.37,44.47,28.3,17.68,16.75,7.51,0.11,24.85,2.47,0.59,1.14,29.49,886879000.0
11,AWI,Industrials,78.6,A-优先三件套,0.0,22.214689,23.68,9.54,15.01,无,206.08,9.54,15.01,24.91,6.74,4.24,40.64,19.05,34.27,16.39,25.66,0.55,13.13,1.46,0.86,0.8,-1.98,355500000.0
12,LRN,Consumer Defensive,78.3,A-优先三件套,7.0,13.196434,50.8,12.56,39.04,利润增长显著快于营收,171.17,12.56,39.04,27.9,10.17,1.43,39.24,11.97,19.46,13.66,23.97,0.37,37.48,5.39,1.14,1.29,0.57,432816000.0
13,ADBE,Technology,77.7,A-优先三件套,6.0,12.489299,41.95,10.52,14.45,ROE>40%,376.16,10.52,14.45,8.57,4.31,,89.27,30.0,61.34,23.88,22.54,0.57,34.21,1.0,0.8,1.38,-3.67,10031000000.0
14,AEM,Basic Materials,77.5,B-保留观察,13.0,13.851312,42.39,27.53,88.11,利润增长显著快于营收；股数膨胀>2%,255.24,27.53,88.11,48.15,29.64,12.0,58.13,37.47,18.03,13.84,0.93,0.01,201.46,2.02,0.37,0.96,3.09,6817113000.0
15,BSX,Healthcare,77.3,A-优先三件套,7.0,17.979358,60.76,16.54,60.72,利润增长显著快于营收,109.5,16.54,60.72,43.76,14.1,16.38,69.01,14.44,11.96,6.98,26.19,0.47,10.7,1.62,0.48,1.17,1.14,4534000000.0
16,WSE,Technology,77.0,A-优先三件套,7.0,19.088099,29.31,46.67,131.92,利润增长显著快于营收,17.47,46.67,131.92,12.15,11.23,,72.41,23.07,30.06,2.45,0.96,0.13,37.68,1.08,0.11,10.7,-0.46,5814455929.73
17,ATAT,Consumer Cyclical,76.8,B-保留观察,13.0,16.441927,27.13,62.94,154.71,利润增长显著快于营收；ROE>40%,43.17,62.94,154.71,91.52,37.03,69.29,44.26,16.56,45.11,19.02,16.63,0.42,557.11,1.97,1.15,1.18,1.59,1992822000.0
18,B,Basic Materials,76.7,A-优先三件套,7.0,10.384038,31.41,15.47,126.1,利润增长显著快于营收,54.69,15.47,126.1,30.23,9.97,5.11,51.26,29.45,18.8,10.07,10.1,0.2,25.59,2.92,0.34,0.77,-1.54,7689000000.0
19,SPSC,Technology,75.7,A-优先三件套,0.0,24.960631,57.66,18.57,19.18,无,141.98,18.57,19.18,21.35,20.01,,69.18,12.42,9.58,8.48,0.61,0.01,,2.17,0.68,1.63,1.24,178790000.0
20,NTES,Communication Services,75.5,A-优先三件套,0.0,15.792229,24.03,5.29,18.4,无,159.55,5.29,18.4,22.34,2.18,-11.48,64.29,29.98,21.06,16.18,3.04,0.04,,3.45,0.54,1.44,-0.33,50739800000.0
21,ALLE,Industrials,74.6,A-优先三件套,0.0,19.118492,23.57,7.52,12.02,无,183.11,7.52,12.02,19.48,3.43,2.71,45.2,15.83,31.14,13.26,37.91,0.96,8.61,1.84,0.84,1.07,-0.68,783800000.0
22,CART,Consumer Cyclical,74.5,A-优先三件套,0.0,25.066786,16.39,13.62,1.46,无,53.5,13.62,1.46,51.91,10.21,,73.7,11.95,17.75,11.46,0.98,0.01,,2.4,0.96,2.04,-4.64,971000000.0
23,MORN,Financial Services,72.6,A-优先三件套,7.0,17.069452,42.4,9.34,74.44,利润增长显著快于营收,289.63,9.34,74.44,25.57,8.23,,61.03,15.3,30.62,10.48,35.13,1.03,13.47,0.99,0.69,1.18,-2.2,589700000.0
24,NXT,Technology,72.6,B-保留观察,13.0,27.333333,35.66,23.23,70.17,利润增长显著快于营收；股数膨胀>2%,163.13,23.23,70.17,73.56,15.43,23.85,32.59,16.46,25.1,16.13,3.63,0.06,273.14,2.45,0.98,0.88,48.21,562911000.0
25,ADSK,Technology,72.4,A-优先三件套,0.0,29.724458,38.16,12.92,10.95,无,329.09,12.92,10.95,5.79,14.41,,90.98,15.6,36.91,9.65,21.93,0.9,25.27,0.85,0.62,2.11,-0.47,2452000000.0
26,SAP,Technology,72.2,A-优先三件套,7.0,20.768915,50.33,7.63,46.36,利润增长显著快于营收,299.48,7.63,46.36,17.48,0.05,,72.86,19.46,16.06,9.9,10.63,0.17,21.87,1.16,0.51,1.18,0.01,9156000000.0
27,OCTV,Technology,72.0,A-优先三件套,0.0,17.872582,47.63,8.28,9.87,无,30.0,8.28,9.87,10.82,-5.38,-46.75,73.0,19.27,4.1,3.66,0.72,0.01,,1.01,0.19,1.15,0.0,496866000.0
28,BKNG,Consumer Cyclical,71.0,B-保留观察,0.0,23.347982,23.27,16.35,20.9,无,231.8,16.35,20.9,12.81,19.67,,nan,20.08,-96.88,18.97,65.93,-3.46,5.23,1.33,0.94,1.68,-5.56,9409000000.0
29,BRO,Financial Services,70.6,B-保留观察,6.0,20.933435,37.28,17.38,16.19,股数膨胀>2%,104.25,17.38,16.19,18.07,12.26,,49.07,18.29,8.4,4.43,26.4,0.63,5.48,1.04,0.24,1.31,5.86,1450000000.0
30,CHKP,Technology,70.2,B-保留观察,0.0,13.116783,42.95,5.37,9.87,无,224.2,5.37,9.87,2.97,6.09,,86.72,38.78,36.67,15.59,25.26,0.68,473.55,2.05,0.4,1.11,-4.37,1199400000.0
31,SPGI,Financial Services,70.1,B-保留观察,0.0,27.13852,21.68,11.11,11.24,无,547.82,11.11,11.24,29.48,11.33,,70.25,29.15,14.36,7.36,22.19,0.44,22.7,0.82,0.25,1.22,-3.16,5651000000.0
32,MZTI,Consumer Defensive,69.8,B-保留观察,0.0,17.004005,43.11,4.43,23.16,无,190.96,4.43,23.16,36.95,-10.91,5.37,23.87,8.77,16.76,13.49,4.36,0.06,,2.38,1.54,1.22,0.02,261496000.0
33,INFY,Technology,69.3,B-保留观察,0.0,13.662517,63.57,3.44,3.58,无,30.0,3.44,3.58,12.29,6.29,,30.16,16.44,33.85,19.57,5.88,0.1,96.87,1.98,1.19,1.13,-0.73,4039000000.0
