二筛排名,代码,行业,二筛总分,优先级,异常惩罚,PE_TTM,距52周高点跌幅_%,营收5年CAGR_%,净利润5年CAGR_%,已在Watchlist,量化警示,52周高点,营收3年CAGR_%,净利润3年CAGR_%,经营现金流3年CAGR_%,应收账款3年CAGR_%,库存3年CAGR_%,毛利率_%,净利率_%,ROE_%,ROA_%,资产负债率_%,长期债务权益比,利息保障倍数,流动比率,总资产周转率,FCF净利润转化率,股数3年CAGR_%,经营现金流_原始值
1,INTU,Technology,91.3,A-优先三件套,0.0,20.056748,58.29,13.95,23.26,否,无,786.28,13.95,23.26,16.86,5.92,,79.57,20.55,19.63,11.2,17.96,0.34,20.57,1.36,0.55,1.57,-0.33,6207000000.0
2,DOCS,Healthcare,90.9,A-优先三件套,0.0,22.071429,71.73,15.45,20.23,否,无,76.51,15.45,20.23,22.04,10.59,,89.09,30.4,20.62,16.42,0.91,0.01,,6.09,0.54,1.62,-1.91,326458000.0
3,UBER,Technology,87.5,A-优先三件套,0.0,16.853069,33.15,17.73,nan,否,无,101.99,17.73,nan,150.56,11.26,,39.75,19.33,37.18,17.79,19.55,0.45,14.18,1.14,0.92,0.97,1.03,10099000000.0
4,FUTU,Financial Services,85.7,A-优先三件套,0.0,12.183806,45.58,44.24,57.05,否,无,202.53,44.24,57.05,127.26,41.2,,87.12,49.62,28.34,5.86,7.65,0.44,48.14,1.19,0.12,3.59,0.12,40788133000.0
5,SGHC,Consumer Cyclical,85.3,A-优先三件套,0.0,18.235382,17.34,17.2,3.7,否,无,15.86,17.2,3.7,26.25,-23.33,107.56,52.8,9.73,27.02,18.37,6.39,0.1,33.36,1.94,1.89,1.11,0.53,360000000.0
6,KNSL,Financial Services,85.2,A-优先三件套,0.0,15.054892,23.51,30.73,46.82,否,无,485.0,30.73,46.82,23.23,16.74,,nan,26.87,25.7,9.22,3.71,0.11,60.58,,0.34,1.97,0.08,1043738000.0
7,OR,Basic Materials,84.2,A-优先三件套,0.0,24.017706,32.92,20.01,nan,否,无,48.06,20.01,nan,44.73,-35.83,nan,83.82,74.3,14.39,14.0,0.32,0.0,54.94,4.53,0.19,1.01,0.57,245596000.0
8,DECK,Consumer Cyclical,84.0,A-优先三件套,6.0,14.000003,20.84,14.69,25.6,否,ROE>40%,125.45,14.69,25.6,30.05,1.89,-2.95,57.7,18.71,40.97,28.22,10.17,0.15,525.25,3.54,1.51,1.07,-3.76,1181955000.0
9,KGC,Basic Materials,83.5,A-优先三件套,0.0,9.771863,34.29,26.84,nan,否,无,39.11,26.84,nan,52.99,nan,8.52,52.7,33.9,27.87,20.54,5.95,0.09,40.06,2.35,0.61,1.07,-0.61,3760500000.0
10,OGC,Basic Materials,82.5,A-优先三件套,7.0,8.182436,38.01,25.08,68.0,否,利润增长显著快于营收,43.33,25.08,68.0,38.72,-20.09,14.03,46.35,33.21,27.73,21.89,1.54,0.02,71.39,1.45,0.66,0.86,-1.37,984200000.0
11,HLI,Financial Services,81.8,A-优先三件套,0.0,21.527902,39.47,13.1,18.75,否,无,211.78,13.1,18.75,72.88,7.84,,38.5,16.26,18.17,10.47,11.42,0.21,,1.5,0.64,1.6,0.39,704131000.0
12,PEGA,Technology,80.7,A-优先三件套,6.0,17.702454,53.29,9.83,nan,否,ROE>40%,68.1,9.83,nan,182.81,1.23,,75.86,22.54,49.97,23.14,4.66,0.1,219.39,1.33,1.03,1.25,1.09,505227000.0
13,TDW,Energy,79.3,A-优先三件套,0.0,15.666985,16.93,27.83,nan,否,无,93.13,27.83,nan,111.23,22.18,7.67,29.82,24.74,24.51,15.0,28.46,0.5,4.33,2.9,0.61,1.06,-0.66,379108000.0
14,CDE,Basic Materials,79.2,A-优先三件套,6.0,14.409186,37.23,38.12,nan,否,股数膨胀>2%,27.77,38.12,nan,225.93,42.36,30.37,44.47,28.3,17.68,16.75,7.51,0.11,24.85,2.47,0.59,1.14,29.49,886879000.0
15,GMAB,Healthcare,79.2,A-优先三件套,0.0,22.320424,17.41,21.23,7.06,否,无,35.43,21.23,7.06,28.19,10.59,nan,93.6,25.89,16.47,9.99,42.15,0.93,20.74,2.02,0.39,1.17,-1.96,1186000000.0
16,PRIM,Industrials,78.8,A-优先三件套,0.0,18.41299,59.42,19.66,27.38,否,无,205.5,19.66,27.38,78.04,7.31,,10.73,3.63,16.35,6.39,21.57,0.57,14.38,1.26,1.76,1.24,0.57,470400000.0
17,LOPE,Consumer Defensive,78.5,A-优先三件套,0.0,18.232088,32.5,6.67,5.39,否,无,223.04,6.67,5.39,7.39,2.87,,53.19,19.54,28.94,21.5,10.82,0.14,75830.25,3.65,1.1,1.1,-4.1,273491000.0
18,HTHT,Consumer Cyclical,78.5,A-优先三件套,0.0,18.508934,25.25,22.22,nan,否,无,56.64,22.22,nan,74.98,-13.39,-6.62,39.39,20.07,39.68,7.98,55.68,2.82,22.67,0.91,0.4,1.48,-0.44,8379000000.0
19,LRN,Consumer Defensive,78.2,A-优先三件套,7.0,12.939463,51.76,12.56,39.04,否,利润增长显著快于营收,171.17,12.56,39.04,27.9,10.17,1.43,39.24,11.97,19.46,13.66,23.97,0.37,37.48,5.39,1.14,1.29,0.57,432816000.0
20,PAAS,Basic Materials,78.0,A-优先三件套,6.0,15.151891,31.08,34.28,nan,否,股数膨胀>2%,69.99,34.28,nan,247.38,19.31,7.63,38.82,27.02,13.98,11.54,8.75,0.12,23.51,2.69,0.43,1.04,26.04,1333000000.0
21,FSM,Basic Materials,76.8,A-优先三件套,0.0,9.130735,30.69,11.59,nan,否,无,13.85,11.59,nan,32.84,-4.69,10.06,49.3,30.35,17.14,12.84,8.95,0.13,16.46,2.98,0.42,0.96,1.75,455366000.0
22,AEM,Basic Materials,76.4,B-保留观察,13.0,14.16524,35.18,27.53,88.11,否,利润增长显著快于营收；股数膨胀>2%,255.24,27.53,88.11,48.15,29.64,12.0,58.13,37.47,18.03,13.84,0.93,0.01,201.46,2.02,0.37,0.96,3.09,6817113000.0
23,BSX,Healthcare,76.4,A-优先三件套,7.0,19.343418,56.4,16.54,60.72,否,利润增长显著快于营收,109.5,16.54,60.72,43.76,14.1,16.38,69.01,14.44,11.96,6.98,26.19,0.47,10.7,1.62,0.48,1.17,1.14,4534000000.0
24,B,Basic Materials,75.7,A-优先三件套,7.0,11.36403,24.94,15.47,126.1,否,利润增长显著快于营收,54.69,15.47,126.1,30.23,9.97,5.11,51.26,29.45,18.8,10.07,10.1,0.2,25.59,2.92,0.34,0.77,-1.54,7689000000.0
25,EVR,Financial Services,75.7,A-优先三件套,0.0,17.959524,17.99,11.76,7.5,否,无,388.71,11.76,7.5,33.22,13.01,,nan,15.35,29.14,12.42,21.56,0.57,,,0.81,2.0,0.15,1256464000.0
26,TTD,Communication Services,75.6,A-优先三件套,7.0,21.372893,79.27,22.44,102.5,否,利润增长显著快于营收,91.45,22.44,102.5,21.85,17.11,,78.63,15.31,17.84,7.23,7.09,0.18,,1.61,0.47,1.77,-1.0,992721000.0
27,BR,Technology,75.5,A-优先三件套,0.0,17.021875,39.9,7.25,21.26,否,无,271.91,7.25,21.26,17.79,5.06,,31.78,15.04,39.58,12.86,39.32,1.24,13.93,1.24,0.85,1.1,-1.15,1345600000.0
28,FDS,Financial Services,75.4,A-优先三件套,0.0,18.305487,29.8,7.98,14.58,否,无,396.06,7.98,14.58,10.5,9.87,,52.72,25.72,27.31,14.28,36.21,0.71,13.8,1.4,0.56,1.03,-0.35,726260000.0
29,NTES,Communication Services,74.9,A-优先三件套,0.0,16.691217,19.71,5.29,18.4,否,无,159.55,5.29,18.4,22.34,2.18,-11.48,64.29,29.98,21.06,16.18,3.04,0.04,,3.45,0.54,1.44,-0.33,50739800000.0
30,PTC,Technology,74.8,A-优先三件套,7.0,13.512052,35.94,12.32,32.85,否,利润增长显著快于营收,217.64,12.32,32.85,25.85,16.29,,83.76,26.8,19.18,11.29,20.7,0.36,12.95,1.12,0.42,1.17,0.58,867696000.0
31,ERIE,Financial Services,74.6,A-优先三件套,0.0,22.757887,34.12,13.32,23.28,否,无,380.67,13.32,23.28,23.32,9.56,,nan,13.48,24.5,17.92,0.0,0.0,,,1.33,1.02,0.0,686657000.0
32,SPOT,Communication Services,74.3,A-优先三件套,6.0,26.507262,35.56,13.59,nan,否,股数膨胀>2%,748.3,13.59,nan,299.5,2.21,,31.98,12.87,26.56,16.37,13.03,0.23,72.74,1.72,1.27,1.3,2.12,2933000000.0
33,CART,Consumer Cyclical,74.0,A-优先三件套,0.0,25.414235,15.23,13.62,1.46,否,无,53.5,13.62,1.46,51.91,10.21,,73.7,11.95,17.75,11.46,0.98,0.01,,2.4,0.96,2.04,-4.64,971000000.0
34,WSE,Technology,73.6,A-优先三件套,7.0,24.839975,31.14,46.67,131.92,否,利润增长显著快于营收,17.47,46.67,131.92,12.15,11.23,,72.41,23.07,30.06,2.45,0.96,0.13,37.68,1.08,0.11,10.7,-0.46,5814455929.73
35,PAYC,Technology,72.5,A-优先三件套,8.0,20.420952,29.79,14.27,17.23,否,应收增速>营收,248.95,14.27,17.23,22.97,25.27,1.89,83.17,22.1,26.19,6.74,1.19,0.05,183.18,1.09,0.3,0.89,-1.8,678900000.0
36,IAG,Basic Materials,72.5,A-优先三件套,6.0,9.275138,36.11,43.83,nan,否,股数膨胀>2%,24.87,43.83,nan,40.87,nan,23.55,42.28,23.29,15.85,11.84,13.02,0.18,10.24,1.75,0.51,1.27,7.26,1142600000.0
37,NU,Financial Services,72.4,A-优先三件套,0.0,22.340025,23.71,52.93,nan,否,无,18.98,52.93,nan,66.71,30.43,,nan,27.0,25.41,4.6,2.53,0.17,,,0.17,1.1,1.13,3500464000.0
38,PATH,Technology,72.1,A-优先三件套,0.0,22.85291,30.34,15.01,nan,否,无,19.84,15.01,nan,nan,9.27,,83.17,17.53,13.56,9.34,2.56,0.04,,2.48,0.53,1.25,-1.19,371208000.0
39,OLLI,Consumer Defensive,72.1,A-优先三件套,0.0,19.401057,44.43,13.19,32.77,否,无,141.08,13.19,32.77,37.39,17.03,11.39,40.5,9.08,12.74,8.72,23.21,0.36,,2.41,0.96,0.81,-0.5,296539000.0
40,HLNE,Financial Services,70.9,B-保留观察,14.0,15.351465,37.44,12.8,31.68,否,应收增速>营收；股数膨胀>2%,161.13,12.8,31.68,23.32,47.68,,69.88,32.83,27.23,12.47,15.47,0.39,31.96,1.62,0.38,1.68,4.21,424917000.0
41,INFY,Technology,70.5,B-保留观察,0.0,15.404878,58.4,3.44,3.58,否,无,30.0,3.44,3.58,12.29,6.29,,30.16,16.44,33.85,19.57,5.88,0.1,96.87,1.98,1.19,1.13,-0.73,4039000000.0
42,ESTC,Technology,70.5,B-保留观察,6.0,20.326537,27.43,17.62,nan,否,股数膨胀>2%,96.07,17.62,nan,109.28,21.19,,76.07,21.14,28.81,12.8,18.76,0.46,0.91,1.68,0.61,0.88,2.47,326894000.0
43,GNTX,Consumer Cyclical,70.3,B-保留观察,0.0,12.812136,17.9,9.71,6.48,否,无,29.38,9.71,6.48,20.19,10.05,8.48,34.2,15.19,15.47,13.53,0.13,0.0,,2.91,0.89,1.19,-2.74,587126291.0
