代码,行业,最新价,流通市值_亿美元,PE_TTM,距52周高点跌幅_%,52周高点,营收5年CAGR_%,净利润5年CAGR_%,最新季度营收同比_%,最新季度净利润同比_%,营业利润占比_%,ROE_%,资产负债率_%,经营现金流_原始值,数据日期,待核验项
CPRT,Diversified Support Services,28.29,239.05,17.57,43.54,50.11,16.07,17.27,5.99,11.5,92.46,17.61,9.09,1799750000.0,2026-07-17,毛利率≥25%；自由现金流最近一年为正；行业归类与普通股身份；利润质量及每股增长
PNR,Industrial Machinery,65.69,105.1,16.11,42.35,113.95,6.71,12.76,3.57,11.3,128.67,17.61,46.12,814800000.0,2026-07-17,毛利率≥25%；自由现金流最近一年为正；行业归类与普通股身份；利润质量及每股增长
PTC,Application Software,127.36,146.46,12.23,42.03,219.69,13.44,41.22,100.33,102.5,109.55,34.4,40.22,867696000.0,2026-07-17,毛利率≥25%；自由现金流最近一年为正；行业归类与普通股身份；利润质量及每股增长
NFLX,Movies & Entertainment,74.35,3112.18,24.02,41.8,127.75,12.57,31.8,18.23,82.77,104.75,48.5,48.99,10149273000.0,2026-07-17,毛利率≥25%；自由现金流最近一年为正；行业归类与普通股身份；利润质量及每股增长
MMS,Data Processing & Outsourced Services,59.03,30.39,8.86,40.97,100.0,9.43,8.26,68.47,128.04,118.76,22.19,59.13,429372000.0,2026-07-17,毛利率≥25%；自由现金流最近一年为正；行业归类与普通股身份；利润质量及每股增长
FDS,Financial Exchanges & Data,262.46,93.0,17.28,40.23,439.11,9.22,9.87,3.79,1.71,103.79,27.03,48.64,726260000.0,2026-07-17,毛利率≥25%；自由现金流最近一年为正；行业归类与普通股身份；利润质量及每股增长
EXLS,Data Processing & Outsourced Services,28.69,39.59,18.29,39.1,47.11,16.85,22.91,16.51,0.78,99.6,28.09,53.54,350717000.0,2026-07-17,毛利率≥25%；自由现金流最近一年为正；行业归类与普通股身份；利润质量及每股增长
AEO,Apparel Retail,17.49,26.58,10.86,38.55,28.46,8.09,11.48,141.47,136.25,133.34,17.57,59.73,456182000.0,2026-07-17,毛利率≥25%；自由现金流最近一年为正；行业归类与普通股身份；利润质量及每股增长
STN,Construction & Engineering,70.45,79.37,23.0,38.48,114.515,12.01,22.88,10.65,10.69,123.29,15.28,58.04,862900000.0,2026-07-17,毛利率≥25%；自由现金流最近一年为正；行业归类与普通股身份；利润质量及每股增长
ADBE,Application Software,235.31,931.83,13.46,37.44,376.16,13.06,6.27,14.66,4.31,99.68,62.95,61.51,10031000000.0,2026-07-17,毛利率≥25%；自由现金流最近一年为正；行业归类与普通股身份；利润质量及每股增长
