代码,行业,最新价,流通市值_亿美元,PE_TTM,距52周高点跌幅_%,52周高点,营收5年CAGR_%,净利润5年CAGR_%,最新季度营收同比_%,最新季度净利润同比_%,营业利润占比_%,ROE_%,资产负债率_%,经营现金流_原始值,数据日期,待核验项,已在Watchlist
AA,Basic Materials,49.09,135.38,10.684259,41.82,84.38,1.01,nan,,,,18.91,16.78,1185000000.0,2026-08-20,毛利率≥25%；自由现金流最近一年为正；行业归类与普通股身份；利润质量及每股增长,否
AB,Financial Services,36.09,33.53,10.694325,18.18,44.11,2.89,3.03,,,,24.21,,352372000.0,2026-08-20,毛利率≥25%；自由现金流最近一年为正；行业归类与普通股身份；利润质量及每股增长,否
ACIW,Technology,51.44,51.51,23.680691,15.78,61.08,7.37,16.82,,,,14.92,27.35,322831000.0,2026-08-20,毛利率≥25%；自由现金流最近一年为正；行业归类与普通股身份；利润质量及每股增长,否
ACM,Industrials,64.62,83.03,29.553427,52.32,135.52,7.07,21.84,,,,22.54,26.47,821602000.0,2026-08-20,毛利率≥25%；自由现金流最近一年为正；行业归类与普通股身份；利润质量及每股增长,否
ADEA,Technology,27.425,29.39,25.220183,20.14,34.34,0.34,nan,,,,23.11,41.16,158086000.0,2026-08-20,毛利率≥25%；自由现金流最近一年为正；行业归类与普通股身份；利润质量及每股增长,否
ADMA,Healthcare,9.79,21.16,14.349927,52.15,20.458,49.05,nan,,,,30.78,12.8,50396000.0,2026-08-20,毛利率≥25%；自由现金流最近一年为正；行业归类与普通股身份；利润质量及每股增长,否
ADT,Industrials,7.345,42.14,10.267896,17.8,8.935,5.39,65.0,,,,15.77,48.61,1884163000.0,2026-08-20,毛利率≥25%；自由现金流最近一年为正；行业归类与普通股身份；利润质量及每股增长,否
AEM,Basic Materials,207.475,1053.49,17.784247,18.71,255.24,27.53,88.11,,,,18.03,0.93,6817113000.0,2026-08-20,毛利率≥25%；自由现金流最近一年为正；行业归类与普通股身份；利润质量及每股增长,否
AEO,Consumer Cyclical,16.12,25.34,10.351375,43.36,28.46,3.59,15.33,,,,11.34,42.41,456182000.0,2026-08-20,毛利率≥25%；自由现金流最近一年为正；行业归类与普通股身份；利润质量及每股增长,否
AFFS,,15.3,27.55,15.66307,,,,,,,,nan,,,2026-08-20,毛利率≥25%；自由现金流最近一年为正；行业归类与普通股身份；利润质量及每股增长,否
