代码,简称,行业,池内档位,质量分,5Y ROE均值_%,5Y ROE最低_%,营收5年CAGR_%,净利润3年CAGR_%,毛利率均值_%,净利率均值_%,FCF转化率,FCF正年数占比_%,OCF负年数,资产负债率_%,流通市值_亿美元,管理层红旗,覆盖,量化警示,review_status,reviewed_date
ABNB.US,"Airbnb, Inc.",Consumer Cyclical,Ⅰ候选,96.9,38.7,30.6,13.38,9.87,82.8,28.8,1.54,100.0,0,9.3,738.7,RunB核,全新,无,pending,
ANET.US,"Arista Networks, Inc.",Technology,Ⅰ候选,94.8,28.4,27.7,27.15,37.44,62.8,36.6,0.95,100.0,0,0.2,2035.6,RunB核,全新,无,pending,
CDNS.US,"Cadence Design Systems, Inc.",Technology,Ⅰ候选,94.7,26.1,20.3,14.14,9.31,87.8,23.2,1.25,100.0,0,25.8,804.5,RunB核,全新,无,pending,
MPWR.US,"Monolithic Power Systems, Inc.",Technology,Ⅰ候选,93.6,29.7,17.6,15.86,12.4,56.3,35.6,0.81,100.0,0,0.5,579.8,RunB核,全新,无,pending,
FTNT.US,"Fortinet, Inc.",Technology,Ⅰ候选,91.7,133.3,116.8,15.46,29.3,78.3,24.4,1.37,100.0,0,9.6,967.6,RunB核,全新,ROE均值>40%,pending,
GOOG.US,Alphabet Inc.,Communication Services,Ⅰ候选,91.6,28.0,23.4,12.51,30.14,57.5,26.7,0.81,100.0,0,10.0,35217.5,RunB核,全新,无,pending,
DXCM.US,"DexCom, Inc.",Healthcare,Ⅰ候选,90.4,25.0,16.0,17.01,34.83,62.1,14.7,1.06,100.0,0,21.9,330.5,RunB核,全新,无,pending,
NTES.US,"NetEase, Inc.",Communication Services,Ⅰ候选,90.3,21.4,19.4,5.29,18.4,60.6,26.9,1.25,100.0,0,3.0,415.1,RunB核,公司页,无,pending,
EW.US,Edwards Lifesciences Corporation,Healthcare,Ⅰ候选,88.9,24.9,10.4,10.77,-10.98,80.4,39.1,0.6,100.0,0,5.1,517.0,RunB核,全新,无,pending,
NVO.US,Novo Nordisk A/S,Healthcare,Ⅰ候选,88.1,67.1,52.8,20.43,22.65,83.5,33.8,0.74,100.0,0,24.1,1485.6,RunB核,全新,ROE均值>40%,pending,
NVS.US,Novartis AG,Healthcare,Ⅰ候选,87.9,25.2,11.7,9.25,26.22,74.4,23.9,1.19,100.0,0,31.9,2961.4,RunB核,全新,无,pending,
HONA.US,Honeywell Aerospace Inc.,Industrials,Ⅰ候选,87.6,26.7,21.2,12.34,-21.47,35.2,14.2,1.26,100.0,0,1.5,510.2,RunB核,全新,无,pending,
MNST.US,Monster Beverage Corporation,Consumer Defensive,Ⅰ候选,87.6,21.3,17.0,9.54,16.94,53.3,21.2,0.89,100.0,0,3.7,615.8,RunB核,全新,无,pending,
CTAS.US,Cintas Corporation,Industrials,Ⅰ候选,85.0,37.2,34.9,8.51,14.05,49.2,16.7,0.97,100.0,0,25.7,685.6,RunB核,全新,无,pending,
TT.US,Trane Technologies plc,Industrials,Ⅰ候选,84.3,31.6,28.8,10.06,18.44,34.0,12.3,0.94,100.0,0,21.5,985.5,RunB核,全新,无,pending,
APH.US,Amphenol Corporation,Technology,Ⅰ候选,82.7,26.7,23.1,22.31,30.94,33.8,16.2,0.99,100.0,0,42.8,2027.5,RunB核,全新,无,pending,
ADSK.US,"Autodesk, Inc.",Technology,Ⅰ候选,81.2,50.0,36.9,12.92,10.95,90.7,16.7,1.83,100.0,0,21.9,453.2,RunB核,全新,ROE均值>40%,pending,
FAST.US,Fastenal Company,Industrials,Ⅰ候选,81.2,33.1,31.8,5.52,5.0,45.5,15.5,0.86,100.0,0,8.7,567.5,RunB核,全新,无,pending,
GRMN.US,Garmin Ltd.,Technology,Ⅰ候选,80.3,17.7,15.7,14.24,19.56,58.2,22.5,0.79,100.0,0,1.5,445.0,RunB核,全新,应收增速>营收,pending,
RACE.US,Ferrari N.V.,Consumer Cyclical,Ⅰ候选,80.2,40.2,36.0,11.93,19.64,49.9,21.1,0.7,100.0,0,30.0,778.9,RunB核,全新,ROE均值>40%,pending,
INFY.US,Infosys Limited,Technology,Ⅰ候选,79.6,31.1,28.2,3.44,3.58,30.2,16.6,1.05,100.0,0,5.9,454.8,RunB核,全新,无,pending,
BKNG.US,Booking Holdings Inc.,Consumer Cyclical,Ⅰ候选,79.4,109.9,109.9,16.35,20.9,,20.7,1.67,100.0,0,65.9,1443.9,RunB核,全新,ROE均值>40%,pending,
VEEV.US,Veeva Systems Inc.,Healthcare,Ⅰ候选,78.5,12.3,11.3,14.03,23.06,73.3,24.8,1.6,100.0,0,1.1,406.5,RunB核,全新,无,pending,
BHP.US,BHP Group Limited,Basic Materials,Ⅰ候选,78.2,21.9,18.2,2.97,-8.7,72.6,18.1,1.17,100.0,0,22.3,2242.4,RunB核,全新,无,pending,
ETN.US,Eaton Corporation plc,Industrials,Ⅰ候选,77.8,18.2,14.5,9.77,18.41,36.3,14.0,0.87,100.0,0,25.5,1594.6,RunB核,公司页,无,pending,
EMR.US,Emerson Electric Co.,Industrials,Ⅰ候选,77.7,28.9,9.1,9.28,-10.8,49.6,33.6,0.87,100.0,0,32.8,850.1,RunB核,全新,无,pending,
